Date,Open,High,Low,Close,Capital,price_change,volume,capital_change
2015-01-12,266.145996,272.203003,265.200012,267.79599,18880300,0.619958227739031,70492.0,3.73335238011516
2015-01-13,267.394012,268.277008,219.906006,225.860992,72843904,-15.532516861297541,296886.0,285.81963210330343
2015-01-14,223.893997,223.893997,171.509995,178.102997,97638704,-20.452089208984027,489785.0,34.03826351756216
2015-01-15,176.897003,229.067001,176.897003,209.843994,81773504,18.624957145260396,412630.0,-16.248884253932744
2015-01-16,209.070007,221.591003,199.770996,208.097,38421000,-0.465397698102146,183278.0,-53.01534345403617
2015-01-17,207.834,211.731003,194.875,199.259995,23469700,-4.1254101831269185,115373.0,-38.914395773144896
2015-01-18,200.050003,218.695007,194.505997,210.339005,30085100,5.143215119071996,146117.0,28.18698151233292
2015-01-19,211.470993,216.727997,207.317993,214.860992,18658300,1.6030562640806334,87765.0,-37.98159221674516
2015-01-20,212.906998,215.240997,205.153,211.315002,24051100,-0.7477424485596263,113903.0,28.902954717203606
2015-01-21,211.378006,227.787994,211.212006,226.897003,29924600,7.341822024756925,136443.0,24.4209204568606
2015-01-22,227.322006,237.018997,226.434006,233.406006,33544600,2.6763796902267365,145186.0,12.097070637535673
2015-01-23,233.516998,234.845001,225.195999,232.878998,24621700,-0.27321351570304325,106307.0,-26.600108512249363
2015-01-24,232.699997,248.210007,230.022003,247.847,24782500,6.509240737119567,103392.0,0.6530824435355803
2015-01-25,247.352005,255.074005,243.889999,253.718002,33582700,2.573658944062338,134326.0,35.50973469181882
2015-01-26,254.078995,309.384003,254.078995,273.472992,106794000,7.633057978680995,391540.0,218.00301941178049
2015-01-27,273.166992,275.480011,250.653,263.475006,44399000,-3.5480077329401443,167106.0,-58.42556697941832
2015-01-28,263.351013,266.535004,227.046005,233.914993,44352200,-11.177485009332397,179048.0,-0.10540777945449221
2015-01-29,233.348007,238.705994,220.712006,233.513,32213400,0.07070683916319445,139109.0,-27.369104576548626
2015-01-30,232.772003,242.850998,225.839005,226.425003,26605200,-2.726702489216458,114692.0,-17.409525228631566
2015-01-31,226.440994,233.503998,216.309006,217.464005,23348200,-3.964383321864416,104499.0,-12.241967735630627
2015-02-01,216.867004,231.574005,212.014999,226.972,29128500,4.659535943051991,131294.0,24.75694057786039
2015-02-02,226.490997,242.175003,222.658997,238.229004,30612100,5.182549044101744,131728.0,5.093293509792814
2015-02-03,237.453995,245.957001,224.483002,227.268005,40783700,-4.289668826165677,174445.0,33.22738394295066
2015-02-04,227.511002,230.057999,221.113007,226.852997,26594300,-0.28921898027595294,117474.0,-34.79184085798984
2015-02-05,227.664993,239.404999,214.725006,217.110992,22516400,-4.635759262294664,100195.0,-15.33373692858996
2015-02-06,216.923004,230.509995,216.231995,222.266006,24435300,2.463086856385233,110326.0,8.522232683732746
2015-02-07,222.632996,230.298996,222.606995,227.753998,21604200,2.300199023508629,95669.0,-11.586106984567408
2015-02-08,227.692993,229.438004,221.076996,223.412003,17145200,-1.8801588681299484,76064.0,-20.639505281380472
2015-02-09,223.389008,223.977005,217.018997,220.110001,27791300,-1.4678461708375456,125682.0,62.09376385227352
2015-02-10,220.281998,221.807007,215.332001,219.839005,21115100,-0.20110267930291847,96277.0,-24.022625785767488
2015-02-11,219.731995,223.406006,218.074005,219.184998,17201900,-0.24893825771709058,78155.0,-18.532708819754586
2015-02-12,219.207993,222.199005,217.613998,221.764008,15206200,1.1660227188887233,69057.0,-11.601625401845144
2015-02-13,221.968994,240.259003,221.261993,235.427002,42744400,6.06301256652088,186064.0,181.09849929633967
2015-02-14,235.528,259.808014,235.528,257.321014,49732500,9.252833633368432,201308.0,16.34857431616773
2015-02-15,257.506989,265.610992,227.684006,234.824997,56552400,-8.808301509828139,229508.0,13.713165435077665
2015-02-16,234.824997,239.520996,229.022003,233.843002,28153700,-0.41818162995653463,120159.0,-50.21661326486586
2015-02-17,233.421997,245.774994,232.313995,243.610001,27363100,4.364628925696324,114595.0,-2.8081566543651455
2015-02-18,243.779999,244.251007,232.339996,236.326004,25200800,-3.057672914339454,105366.0,-7.90224791781633
2015-02-19,236.410004,242.671997,235.591995,240.283005,18270500,1.6382559682203706,76529.0,-27.500317450239674
2015-02-20,240.251007,247.100998,239.298996,243.779007,23876700,1.4684641883727965,98417.0,30.684436660189924
2015-02-21,243.751999,255.320007,243.184006,244.533997,12284200,0.3208170612787415,49795.0,-48.55151675063974
2015-02-22,244.544006,246.391998,233.850998,235.977005,19527000,-3.5032553609185597,81298.0,58.96029045440484
2015-02-23,235.994995,240.108994,232.421005,238.891998,16400000,1.227569677907793,69241.0,-16.013724586470016
2015-02-24,238.998001,239.901001,236.401993,238.735001,14200400,-0.1100427614036725,59538.0,-13.412195121951221
2015-02-25,238.889999,239.339996,235.529999,237.470001,11496200,-0.5944150052091517,48342.0,-19.043125545759274
2015-02-26,237.337006,237.710007,234.257004,236.425995,13619400,-0.38384700951355305,57604.0,18.46871140028879
2015-02-27,236.436005,256.653015,236.436005,253.828003,44013900,7.3559008070703955,179036.0,223.1706242565752
2015-02-28,253.520004,254.692001,249.479004,254.263,13949300,0.29307194236238854,55138.0,-68.30705754318522
2015-03-01,254.283005,261.660004,245.932999,260.201996,25213700,2.32771789054483,98676.0,80.75243919049701
2015-03-02,260.356995,276.300995,258.312988,275.670013,40465700,5.881546604883806,151183.0,60.49092358519377
2015-03-03,275.04599,285.79599,268.161011,281.701996,50461300,2.419961112685188,181727.0,24.701413789950504
2015-03-04,281.98999,284.225006,268.126007,273.09201,41383000,-3.1554240631023682,149474.0,-17.990618553227918
2015-03-05,272.739014,281.666992,264.769012,276.178009,41302400,1.2609105494529569,150828.0,-0.19476596670130247
2015-03-06,275.600006,277.608002,270.015015,272.722992,28918900,-1.0439092660977776,105549.0,-29.982519175641126
2015-03-07,272.294006,277.854004,270.132996,276.260986,17825900,1.4568737881068077,65026.0,-38.358997057287795
2015-03-08,276.433014,277.858002,272.565002,274.354004,22067900,-0.7520845538369882,80159.0,23.79683494241525
2015-03-09,274.812012,292.700989,273.893005,289.606995,59178200,5.383674058614295,209293.0,168.16416605114216
2015-03-10,289.862,300.044006,289.743011,291.76001,67770800,0.6547978003325717,231416.0,14.51987387247331
2015-03-11,291.524994,297.390991,290.507996,296.378998,33963900,1.6650387101971889,115543.0,-49.88416840291099
2015-03-12,296.127014,297.088013,292.412994,294.354004,32585200,-0.5987329477478874,110460.0,-4.059310032122341
2015-03-13,294.118011,294.497986,285.337006,285.337006,31421500,-2.9855380056952883,108416.0,-3.571253206977401
2015-03-14,284.441986,286.34201,280.976013,281.88501,22612300,-0.898944644550458,79786.0,-28.03558073293764
2015-03-15,281.424988,286.528992,280.996002,286.393005,11970100,1.7653077060804676,42173.0,-47.06376618035317
2015-03-16,285.684998,294.112,285.684998,290.592987,21516100,1.7179722541818547,74445.0,79.74870719542861
2015-03-17,290.595001,292.36499,284.373993,285.505005,21497200,-1.7515772750681426,74589.0,-0.08784119798662397
2015-03-18,285.066986,285.335999,249.869995,256.299011,57008000,-10.091654387505953,211813.0,165.1880244869099
2015-03-19,255.880005,264.243988,248.636002,260.928009,52732000,1.9728012745661636,204847.0,-7.500701655907943
2015-03-20,260.955994,264.847992,259.161987,261.748993,18456700,0.3038822706636158,70532.0,-64.99905180914814
2015-03-21,261.644012,262.196014,255.649994,260.024994,17130100,-0.6187865671468082,65916.0,-7.187633759014342
2015-03-22,259.916992,269.747009,259.589996,267.959991,18438100,3.0944490924240955,69761.0,7.6356822201855215
2015-03-23,267.894989,277.296997,261.744995,266.73999,22811900,-0.43113871010108074,84986.0,23.721533129769337
2015-03-24,266.576996,267.002991,244.154999,245.595001,40073700,-7.870894831450502,156640.0,75.67015461228569
2015-03-25,247.472,249.190002,236.514999,246.197006,35866900,-0.5152073769961938,146489.0,-10.49765806501521
2015-03-26,246.276001,254.354004,244.904999,248.531998,25730000,0.9160441905989772,103534.0,-28.262548477844472
2015-03-27,248.565994,256.811005,245.212997,247.029007,17274900,-0.618341622386199,69265.0,-32.86086280606296
2015-03-28,246.975006,254.205002,246.975006,252.798004,16040900,2.357727647954783,64103.0,-7.143311972862361
2015-03-29,252.740005,253.139008,240.850006,242.712997,21699400,-3.967321279431009,87724.0,35.27545212550418
2015-03-30,242.878998,249.242004,239.214005,247.526001,23009600,1.9132996423181934,94026.0,6.03795496649677
2015-03-31,247.453995,248.729996,242.738998,244.223999,22672000,-1.3052915148935056,92243.0,-1.4672136847228983
2015-04-01,244.223007,247.541,241.160004,247.272003,22877200,1.248447489633938,93358.0,0.9050811573747354
2015-04-02,247.089005,254.460999,245.416,253.005005,26272600,2.3942789360457484,105093.0,14.841851275505743
2015-04-03,253.074005,256.042999,251.878998,254.322006,23146600,0.4931367802868524,91190.0,-11.89832753515069
2015-04-04,254.291,255.257996,251.100006,253.697006,12493500,-0.2335882905804803,49267.0,-46.024470116561396
2015-04-05,253.761002,260.674988,251.942001,260.597992,19649200,2.6942634786727337,76532.0,57.275383199263615
2015-04-06,260.721008,261.798004,254.574997,255.492004,20034200,-2.00559365741635,77608.0,1.9593673024855973
2015-04-07,255.274002,255.804993,252.205002,253.179993,18467400,-0.8202985747056215,72673.0,-7.8206267282946165
2015-04-08,253.063995,253.847,244.214996,245.022003,30086400,-3.1778491444426904,120811.0,62.91627408297865
2015-04-09,244.751007,246.117996,239.399994,243.675995,21643500,-0.43922679345706916,88890.0,-28.062180918953416
2015-04-10,243.694,243.694,232.770996,236.072006,28882000,-3.1276904642707666,120816.0,33.44422112874535
2015-04-11,236.016006,239.537003,234.175003,236.552002,16365200,0.22710154666373902,69177.0,-43.33771899452947
2015-04-12,236.535004,237.727997,233.494995,236.153,12387900,-0.16149998669964086,52496.0,-24.30339989734314
2015-04-13,235.949997,236.934998,221.996002,224.587006,31181800,-4.81584706271473,135651.0,151.71175098281387
2015-04-14,224.759003,224.975998,216.322998,219.158997,31719000,-2.4915602602134728,143328.0,1.7227998383672525
2015-04-15,219.072998,223.832993,218.649002,223.832993,22562000,2.172789455321178,101930.0,-28.86913206595416
2015-04-16,223.917007,229.671997,223.917007,228.572998,24805400,2.079337814657374,109507.0,9.943267440829713
2015-04-17,228.574997,228.906006,221.942001,222.882004,20429800,-2.4906455538529446,90567.0,-17.639707483048046
2015-04-18,222.852997,224.315994,220.876007,223.356003,12939000,0.22571201947981845,58061.0,-36.666046657333894
2015-04-19,223.455994,226.352997,222.373001,222.600006,15021500,-0.38306781781830224,67152.0,16.094752299250327
2015-04-20,222.612,226.350998,221.977005,224.626007,18364700,0.9047162776490002,82025.0,22.256099590586825
2015-04-21,224.619995,235.268997,224.300995,235.268997,24978000,4.74089673094331,108664.0,36.01093402015824
2015-04-22,235.602005,237.908997,233.475998,234.175995,23847900,-0.605262251482109,101355.0,-4.524381455681
2015-04-23,234.052994,236.475006,233.199005,236.462006,17036000,1.029259211270756,72479.0,-28.563940640475682
2015-04-24,235.970001,236.304993,229.932999,231.268005,21448700,-1.9926244777191016,91909.0,25.9022070908664
2015-04-25,231.235001,232.561005,226.337006,226.389999,13957200,-2.0952719004680533,60914.0,-34.92752474508944
2015-04-26,226.410004,226.944,214.873993,219.429993,28943700,-3.0829075026207726,130427.0,107.37468833290345
2015-04-27,219.429001,233.304993,218.022995,229.285995,38574000,4.492110867332443,171432.0,33.27252562733859
2015-04-28,228.968994,229.494995,223.069,225.854996,21469200,-1.3600085957489987,94642.0,-44.3428215896718
2015-04-29,225.591003,227.039993,223.429993,225.807999,18936500,0.0961900063009138,83988.0,-11.796899744750618
2015-04-30,225.692993,239.563004,224.992996,236.145004,33818600,4.631074656358516,146023.0,78.5894964750614
2015-05-01,235.938995,238.966003,232.078995,232.078995,18815300,-1.636016123574661,80145.0,-44.36404818650092
2015-05-02,232.341003,235.727005,232.341003,234.929993,12535500,1.1143061132433847,53608.0,-33.376029082714595
2015-05-03,234.880005,243.240005,234.082993,240.358002,18494100,2.3322534414966434,77661.0,47.53380399664952
2015-05-04,240.356003,242.638,237.809998,239.018005,21223400,-0.5566734274575197,88447.0,14.757679476157262
2015-05-05,238.852005,239.203995,232.054001,236.121002,23929100,-1.1433870944478726,101155.0,12.74866421025849
2015-05-06,236.248993,236.453995,229.231003,229.781998,29587200,-2.737364048785607,127022.0,23.64526873137728
2015-05-07,229.662003,239.104996,228.572998,237.334,29064400,3.3405599967705606,124383.0,-1.766980315812243
2015-05-08,237.203995,246.274994,236.274002,243.863007,27445500,2.807293359456285,113927.0,-5.570044453007803
2015-05-09,243.768997,247.804001,239.639008,241.832001,19790500,-0.7946030971280658,81355.0,-27.89163979523055
2015-05-10,241.729004,244.067993,238.848999,240.296005,15019100,-0.5928121889750537,62259.0,-24.109547510169023
2015-05-11,240.298996,244.270004,239.376007,242.158005,20892300,0.7736232905442578,86501.0,39.10487312821674
2015-05-12,242.145004,242.880997,240.098999,241.112,19282600,-0.4266055392164958,79826.0,-7.704752468612838
2015-05-13,241.397995,243.703995,235.044998,236.376999,27180100,-2.079965908581799,113662.0,40.95661373466234
2015-05-14,236.214005,237.798996,234.057007,236.929001,24413700,0.3026899272970769,103339.0,-10.178034665067457
2015-05-15,236.955002,238.753006,236.794998,237.604996,16329400,0.2743111538113858,68748.0,-33.11378447347187
2015-05-16,237.643997,237.697006,235.294998,236.153,11089700,-0.6274078111891129,46852.0,-32.08752311781205
2015-05-17,236.009995,238.024994,236.009995,236.802002,11134300,0.33558197397529027,47037.0,0.40217499120805794
2015-05-18,236.886993,237.210007,232.460007,233.128006,16780300,-1.5868270994515896,71429.0,50.7081720449422
2015-05-19,233.037003,234.151001,231.817001,231.947006,14241900,-0.46773558961364214,61193.0,-15.12726232546498
2015-05-20,231.889999,234.682999,231.841995,234.018005,15499400,0.9176790759311699,66490.0,8.829580322850182
2015-05-21,234.016006,236.242004,233.835007,235.343994,15108900,0.5674774228904689,64332.0,-2.519452365898035
2015-05-22,235.320999,240.968994,235.059998,240.348007,27003000,2.136234344305157,113494.0,78.7224748327145
2015-05-23,240.285995,241.024994,238.690994,238.871994,14605000,-0.5884658404664879,60926.0,-45.91341702773766
2015-05-24,238.975998,241.977997,238.811005,240.953003,11508000,0.8272818260183565,47914.0,-21.205066757959603
2015-05-25,240.927002,241.020996,236.636993,237.110001,14423900,-1.5842977201866215,60370.0,25.3380257212374
2015-05-26,237.104004,238.242004,235.692001,237.115997,16425000,0.005058117871341264,69293.0,13.873501618840953
2015-05-27,237.065002,238.636002,236.695007,237.283005,18837000,0.09195916654117092,79340.0,14.684931506849317
2015-05-28,237.257004,237.824005,236.651993,237.408005,13829600,0.06364448570715658,58283.0,-26.582789191484846
2015-05-29,237.376999,237.522003,235.731003,237.095993,14805000,-0.11837962447238588,62486.0,7.052987794296292
2015-05-30,237.091995,237.093002,232.046005,233.345001,14098600,-1.5803966726080316,60021.0,-4.771361026680176
2015-05-31,233.134995,233.251999,229.542007,230.190002,14730800,-1.2632136157851424,63624.0,4.48413317634375
2015-06-01,230.233002,231.712997,221.296005,222.925995,26090500,-3.173744396557014,115168.0,77.11529584272408
2015-06-02,222.893997,226.416,222.419006,225.802994,20459000,1.3051033402214054,91179.0,-21.58448477415151
